,blyxrs,blzyl,cxbj,date,dateDigit,dateDigitSeparator,day,fxbj,jgpxzd,jxb_id,jxbmc,jxbzls,kch,kch_id,kcmc,kcrow,kklxdm,kzmc,listnav,localeKey,month,pageTotal,pageable,queryModel,rangeable,totalResult,userModel,xf,xxkbj,year,yxzrs,sftj
0,1,5,0,二○二三年九月十二日,2023年9月12日,2023-9-12,12,0,1,00686BBA767BB173E0630207010A7F10,(2023-2024-1)-3000430011118-01,1,3000430011118,005BECDBEB74AF7CE0630107010A6B63,工程力学,1,01,无,false,zh_CN,9,0,True,"{'currentPage': 1, 'currentResult': 0, 'entityOrField': False, 'limit': 15, 'offset': 0, 'pageNo': 0, 'pageSize': 15, 'showCount': 10, 'sorts': [], 'totalCount': 0, 'totalPage': 0, 'totalResult': 0}",True,0,"{'monitor': False, 'roleCount': 0, 'roleKeys': '', 'roleValues': '', 'status': 0, 'usable': False}",4.0,0,2023,3,
1,0,-6,0,二○二三年九月十二日,2023年9月12日,2023-9-12,12,0,1,FCF2F0177E161C96E0530207010A9569,(2023-2024-1)-1100160011002-01,1,1100160011002,1100160011002,学术写作,2,01,跨学院公共基础课,false,zh_CN,9,0,True,"{'currentPage': 1, 'currentResult': 0, 'entityOrField': False, 'limit': 15, 'offset': 0, 'pageNo': 0, 'pageSize': 15, 'showCount': 10, 'sorts': [], 'totalCount': 0, 'totalPage': 0, 'totalResult': 0}",True,0,"{'monitor': False, 'roleCount': 0, 'roleKeys': '', 'roleValues': '', 'status': 0, 'usable': False}",3.0,0,2023,36,
2,2,5,0,二○二三年九月十二日,2023年9月12日,2023-9-12,12,0,1,FF4FAE65E829AA3EE0530107010AA0FA,(2023-2024-1)-1100270041006-01,1,1100270041006,1100270041006,汉语综合I,3,01,国际学生公共基础课,false,zh_CN,9,0,True,"{'currentPage': 1, 'currentResult': 0, 'entityOrField': False, 'limit': 15, 'offset': 0, 'pageNo': 0, 'pageSize': 15, 'showCount': 10, 'sorts': [], 'totalCount': 0, 'totalPage': 0, 'totalResult': 0}",True,0,"{'monitor': False, 'roleCount': 0, 'roleKeys': '', 'roleValues': '', 'status': 0, 'usable': False}",6.0,0,2023,12,
3,0,10,0,二○二三年九月十二日,2023年9月12日,2023-9-12,12,0,1,0483ED1053850FB6E0630207010A0AE8,(2023-2024-1)-1100270041008-03,1,1100270041008,1100270041008,汉语综合Ⅲ,4,01,国际学生公共基础课,false,zh_CN,9,0,True,"{'currentPage': 1, 'currentResult': 0, 'entityOrField': False, 'limit': 15, 'offset': 0, 'pageNo': 0, 'pageSize': 15, 'showCount': 10, 'sorts': [], 'totalCount': 0, 'totalPage': 0, 'totalResult': 0}",True,0,"{'monitor': False, 'roleCount': 0, 'roleKeys': '', 'roleValues': '', 'status': 0, 'usable': False}",6.0,0,2023,0,
4,1,5,0,二○二三年九月十二日,2023年9月12日,2023-9-12,12,0,1,FF4F85F47FBD53FFE0530207010A5574,(2023-2024-1)-1100270041008-01,1,1100270041008,1100270041008,汉语综合Ⅲ,4,01,国际学生公共基础课,false,zh_CN,9,0,True,"{'currentPage': 1, 'currentResult': 0, 'entityOrField': False, 'limit': 15, 'offset': 0, 'pageNo': 0, 'pageSize': 15, 'showCount': 10, 'sorts': [], 'totalCount': 0, 'totalPage': 0, 'totalResult': 0}",True,0,"{'monitor': False, 'roleCount': 0, 'roleKeys': '', 'roleValues': '', 'status': 0, 'usable': False}",6.0,0,2023,1,
5,0,10,0,二○二三年九月十二日,2023年9月12日,2023-9-12,12,0,1,0483A5E5F8EEA417E0630107010A7992,(2023-2024-1)-1100270041008-02,1,1100270041008,1100270041008,汉语综合Ⅲ,4,01,国际学生公共基础课,false,zh_CN,9,0,True,"{'currentPage': 1, 'currentResult': 0, 'entityOrField': False, 'limit': 15, 'offset': 0, 'pageNo': 0, 'pageSize': 15, 'showCount': 10, 'sorts': [], 'totalCount': 0, 'totalPage': 0, 'totalResult': 0}",True,0,"{'monitor': False, 'roleCount': 0, 'roleKeys': '', 'roleValues': '', 'status': 0, 'usable': False}",6.0,0,2023,0,
6,4,27,0,二○二三年九月十二日,2023年9月12日,2023-9-12,12,0,1,FF263B185B0D2754E0530107010A57CF,(2023-2024-1)-1100340011010-02,1,1100340011010,1100340011010,生物信息学,5,01,跨学院公共基础课,false,zh_CN,9,0,True,"{'currentPage': 1, 'currentResult': 0, 'entityOrField': False, 'limit': 15, 'offset': 0, 'pageNo': 0, 'pageSize': 15, 'showCount': 10, 'sorts': [], 'totalCount': 0, 'totalPage': 0, 'totalResult': 0}",True,0,"{'monitor': False, 'roleCount': 0, 'roleKeys': '', 'roleValues': '', 'status': 0, 'usable': False}",2.0,0,2023,108,
7,1,16,0,二○二三年九月十二日,2023年9月12日,2023-9-12,12,0,1,FF281C49A38AEC34E0530207010A676A,(2023-2024-1)-1100340011010-01,1,1100340011010,1100340011010,生物信息学,5,01,跨学院公共基础课,false,zh_CN,9,0,True,"{'currentPage': 1, 'currentResult': 0, 'entityOrField': False, 'limit': 15, 'offset': 0, 'pageNo': 0, 'pageSize': 15, 'showCount': 10, 'sorts': [], 'totalCount': 0, 'totalPage': 0, 'totalResult': 0}",True,0,"{'monitor': False, 'roleCount': 0, 'roleKeys': '', 'roleValues': '', 'status': 0, 'usable': False}",2.0,0,2023,75,
8,2,2,0,二○二三年九月十二日,2023年9月12日,2023-9-12,12,0,1,FF286D9D3090EC2EE0530207010ADFBA,(2023-2024-1)-1100340011010-05,1,1100340011010,1100340011010,生物信息学,5,01,跨学院公共基础课,false,zh_CN,9,0,True,"{'currentPage': 1, 'currentResult': 0, 'entityOrField': False, 'limit': 15, 'offset': 0, 'pageNo': 0, 'pageSize': 15, 'showCount': 10, 'sorts': [], 'totalCount': 0, 'totalPage': 0, 'totalResult': 0}",True,0,"{'monitor': False, 'roleCount': 0, 'roleKeys': '', 'roleValues': '', 'status': 0, 'usable': False}",2.0,0,2023,197,
9,3,10,0,二○二三年九月十二日,2023年9月12日,2023-9-12,12,0,1,FF263B185B332754E0530107010A57CF,(2023-2024-1)-1100340011010-04,1,1100340011010,1100340011010,生物信息学,5,01,跨学院公共基础课,false,zh_CN,9,0,True,"{'currentPage': 1, 'currentResult': 0, 'entityOrField': False, 'limit': 15, 'offset': 0, 'pageNo': 0, 'pageSize': 15, 'showCount': 10, 'sorts': [], 'totalCount': 0, 'totalPage': 0, 'totalResult': 0}",True,0,"{'monitor': False, 'roleCount': 0, 'roleKeys': '', 'roleValues': '', 'status': 0, 'usable': False}",2.0,0,2023,128,
10,2,13,0,二○二三年九月十二日,2023年9月12日,2023-9-12,12,0,1,FF263B185B1E2754E0530107010A57CF,(2023-2024-1)-1100340011010-03,1,1100340011010,1100340011010,生物信息学,5,01,跨学院公共基础课,false,zh_CN,9,0,True,"{'currentPage': 1, 'currentResult': 0, 'entityOrField': False, 'limit': 15, 'offset': 0, 'pageNo': 0, 'pageSize': 15, 'showCount': 10, 'sorts': [], 'totalCount': 0, 'totalPage': 0, 'totalResult': 0}",True,0,"{'monitor': False, 'roleCount': 0, 'roleKeys': '', 'roleValues': '', 'status': 0, 'usable': False}",2.0,0,2023,94,
11,10,10,0,二○二三年九月十二日,2023年9月12日,2023-9-12,12,0,1,FB01988A0422D376E0530207010AEDF9,(2023-2024-1)-1100430011029-06,1,1100430011029,1100430011029,理论力学A2,6,01,无,false,zh_CN,9,0,True,"{'currentPage': 1, 'currentResult': 0, 'entityOrField': False, 'limit': 15, 'offset': 0, 'pageNo': 0, 'pageSize': 15, 'showCount': 10, 'sorts': [], 'totalCount': 0, 'totalPage': 0, 'totalResult': 0}",True,0,"{'monitor': False, 'roleCount': 0, 'roleKeys': '', 'roleValues': '', 'status': 0, 'usable': False}",2.0,0,2023,43,
12,3,20,0,二○二三年九月十二日,2023年9月12日,2023-9-12,12,0,1,FB03194F064D1255E0530107010A4E83,(2023-2024-1)-1100430011029-10,1,1100430011029,1100430011029,理论力学A2,6,01,无,false,zh_CN,9,0,True,"{'currentPage': 1, 'currentResult': 0, 'entityOrField': False, 'limit': 15, 'offset': 0, 'pageNo': 0, 'pageSize': 15, 'showCount': 10, 'sorts': [], 'totalCount': 0, 'totalPage': 0, 'totalResult': 0}",True,0,"{'monitor': False, 'roleCount': 0, 'roleKeys': '', 'roleValues': '', 'status': 0, 'usable': False}",2.0,0,2023,8,
13,3,16,0,二○二三年九月十二日,2023年9月12日,2023-9-12,12,0,1,FB02284944B62D81E0530107010A4AF3,(2023-2024-1)-1100430011029-01,1,1100430011029,1100430011029,理论力学A2,6,01,无,false,zh_CN,9,0,True,"{'currentPage': 1, 'currentResult': 0, 'entityOrField': False, 'limit': 15, 'offset': 0, 'pageNo': 0, 'pageSize': 15, 'showCount': 10, 'sorts': [], 'totalCount': 0, 'totalPage': 0, 'totalResult': 0}",True,0,"{'monitor': False, 'roleCount': 0, 'roleKeys': '', 'roleValues': '', 'status': 0, 'usable': False}",2.0,0,2023,17,
14,12,12,0,二○二三年九月十二日,2023年9月12日,2023-9-12,12,0,1,FB02F688B31EF152E0530107010A5DDD,(2023-2024-1)-1100430011029-04,1,1100430011029,1100430011029,理论力学A2,6,01,无,false,zh_CN,9,0,True,"{'currentPage': 1, 'currentResult': 0, 'entityOrField': False, 'limit': 15, 'offset': 0, 'pageNo': 0, 'pageSize': 15, 'showCount': 10, 'sorts': [], 'totalCount': 0, 'totalPage': 0, 'totalResult': 0}",True,0,"{'monitor': False, 'roleCount': 0, 'roleKeys': '', 'roleValues': '', 'status': 0, 'usable': False}",2.0,0,2023,46,
15,1,24,0,二○二三年九月十二日,2023年9月12日,2023-9-12,12,0,1,FB00D489A3185D16E0530207010AA6DB,(2023-2024-1)-1100430011029-09,1,1100430011029,1100430011029,理论力学A2,6,01,无,false,zh_CN,9,0,True,"{'currentPage': 1, 'currentResult': 0, 'entityOrField': False, 'limit': 15, 'offset': 0, 'pageNo': 0, 'pageSize': 15, 'showCount': 10, 'sorts': [], 'totalCount': 0, 'totalPage': 0, 'totalResult': 0}",True,0,"{'monitor': False, 'roleCount': 0, 'roleKeys': '', 'roleValues': '', 'status': 0, 'usable': False}",2.0,0,2023,27,
16,3,13,0,二○二三年九月十二日,2023年9月12日,2023-9-12,12,0,1,FB00D489A30F5D16E0530207010AA6DB,(2023-2024-1)-1100430011029-05,1,1100430011029,1100430011029,理论力学A2,6,01,无,false,zh_CN,9,0,True,"{'currentPage': 1, 'currentResult': 0, 'entityOrField': False, 'limit': 15, 'offset': 0, 'pageNo': 0, 'pageSize': 15, 'showCount': 10, 'sorts': [], 'totalCount': 0, 'totalPage': 0, 'totalResult': 0}",True,0,"{'monitor': False, 'roleCount': 0, 'roleKeys': '', 'roleValues': '', 'status': 0, 'usable': False}",2.0,0,2023,30,
17,7,7,0,二○二三年九月十二日,2023年9月12日,2023-9-12,12,0,1,FB02747CD2A952ECE0530207010AB843,(2023-2024-1)-1100430011029-07,1,1100430011029,1100430011029,理论力学A2,6,01,无,false,zh_CN,9,0,True,"{'currentPage': 1, 'currentResult': 0, 'entityOrField': False, 'limit': 15, 'offset': 0, 'pageNo': 0, 'pageSize': 15, 'showCount': 10, 'sorts': [], 'totalCount': 0, 'totalPage': 0, 'totalResult': 0}",True,0,"{'monitor': False, 'roleCount': 0, 'roleKeys': '', 'roleValues': '', 'status': 0, 'usable': False}",2.0,0,2023,40,
